"";"Year";"Square";"Number";"SpitNum";"SpitID";"Assemblage";"X";"Y";"Z";"Code";"Orientation";"Dip"
"920";2013;"J52";"237";"10";"J52C_10";"SUP";99,105;101,385;-0,672;"FAUNA";292;8
"921";2013;"J52";"238";"10";"J52C_10";"SUP";99,152;101,392;-0,664;"FAUNA";280;9
"922";2013;"J52";"239";"10";"J52C_10";"SUP";99,344;101,48;-0,676;"FAUNA";NA;NA
"923";2013;"J52";"240";"10";"J52C_10";"SUP";99,25;101,182;-0,671;"FAUNA";NA;NA
"924";2013;"J52";"241";"10";"J52C_10";"SUP";99,242;101,338;-0,682;"FAUNA";NA;NA
"925";2013;"J52";"242";"10";"J52C_10";"SUP";99,35;101,226;-0,666;"FAUNA";278;13
"926";2013;"J52";"243";"10";"J52C_10";"SUP";99,301;101,063;-0,651;"FAUNA";196;24
"927";2013;"J52";"244";"10";"J52C_10";"SUP";99,416;101,036;-0,625;"FAUNA";NA;NA
"928";2013;"J52";"245";"10";"J52D_10";"SUP";99,507;101,106;-0,662;"FAUNA";NA;NA
"929";2013;"J52";"246";"10";"J52D_10";"SUP";99,52;101,112;-0,666;"FAUNA";326;7
"930";2013;"J52";"247";"10";"J52C_10";"SUP";99,371;101,24;-0,685;"SILEX";NA;NA
"931";2013;"J52";"248";"10";"J52C_10";"SUP";99,408;101,158;-0,682;"FAUNA";NA;NA
"932";2013;"J52";"249";"10";"J52C_10";"SUP";99,319;101,078;-0,657;"FAUNA";NA;NA
"933";2013;"J52";"250";"10";"J52A_10";"SUP";99,038;101,826;-0,654;"FAUNA";NA;NA
"934";2013;"J52";"251";"10";"J52A_10";"SUP";99,466;101,505;-0,692;"FAUNA";NA;NA
"935";2013;"J52";"252";"10";"J52C_10";"SUP";99,264;101,123;-0,701;"SILEX";NA;NA
"936";2013;"J52";"253";"10";"J52C_10";"SUP";99,344;101,124;-0,686;"FAUNA";NA;NA
"937";2013;"J52";"254";"10";"J52B_10";"SUP";99,79;101,84;-0,697;"FAUNA";NA;NA
"938";2013;"J52";"256";"10";"J52D_10";"SUP";99,695;101,122;-0,67;"FAUNA";NA;NA
"939";2013;"J52";"257";"10";"J52D_10";"SUP";99,604;101,451;-0,693;"FAUNA";NA;NA
"940";2013;"J52";"258";"10";"J52D_10";"SUP";99,713;101,182;-0,666;"FAUNA";NA;NA
"941";2013;"J52";"259";"10";"J52D_10";"SUP";99,716;101,412;-0,702;"FAUNA";NA;NA
"942";2013;"J52";"261";"10";"J52D_10";"SUP";99,839;101,301;-0,682;"FAUNA";NA;NA
"943";2013;"J52";"262";"10";"J52D_10";"SUP";99,948;101,07;-0,676;"FAUNA";NA;NA
"944";2013;"J52";"263";"10";"J52D_10";"SUP";99,986;101,311;-0,681;"FAUNA";NA;NA
"945";2013;"J52";"264";"10";"J52D_10";"SUP";99,678;101,113;-0,695;"FAUNA";NA;NA
"946";2013;"J52";"265";"10";"J52D_10";"SUP";99,764;101,064;-0,698;"SILEX";NA;NA
"947";2013;"J52";"266";"10";"J52C_10";"SUP";100,021;101,089;-0,715;"FAUNA";NA;NA
"948";2013;"J52";"267";"10";"J52D_10";"SUP";99,72;101,136;-0,706;"FAUNA";NA;NA
"949";2013;"J52";"268";"11";"J52A_11";"SUP";100,02;101,537;-0,716;"FAUNA";NA;NA
"950";2013;"J52";"269";"11";"J52B_11";"SUP";99,845;101,509;-0,723;"FAUNA";NA;NA
"951";2013;"J52";"270";"11";"J52B_11";"SUP";99,895;101,689;-0,709;"FAUNA";NA;NA
"952";2013;"J52";"271";"11";"J52B_11";"SUP";99,923;101,741;-0,702;"FAUNA";NA;NA
"953";2013;"J52";"272";"11";"J52B_11";"SUP";99,897;101,903;-0,716;"FAUNA";NA;NA
"954";2013;"J52";"273";"11";"J52B_11";"SUP";99,863;101,896;-0,716;"FAUNA";NA;NA
"955";2013;"J52";"274";"11";"J52B_11";"SUP";99,782;101,808;-0,696;"FAUNA";NA;NA
"956";2013;"J52";"275";"11";"J52B_11";"SUP";99,761;101,749;-0,71;"FAUNA";NA;NA
"957";2013;"J52";"276";"11";"J52B_11";"SUP";99,684;101,772;-0,703;"FAUNA";NA;NA
"958";2013;"J52";"277";"11";"J52B_11";"SUP";99,707;101,573;-0,706;"FAUNA";NA;NA
"959";2013;"J52";"278";"11";"J52B_11";"SUP";99,712;101,522;-0,705;"FAUNA";NA;NA
"960";2013;"J52";"279";"11";"J52B_11";"SUP";99,622;101,675;-0,702;"FAUNA";NA;NA
"961";2013;"J52";"280";"11";"J52B_11";"SUP";99,625;101,76;-0,707;"FAUNA";NA;NA
"962";2013;"J52";"281";"11";"J52B_11";"SUP";99,615;101,814;-0,72;"FAUNA";NA;NA
"963";2013;"J52";"282";"11";"J52B_11";"SUP";99,652;101,901;-0,712;"FAUNA";NA;NA
"964";2013;"J52";"283";"11";"J52B_11";"SUP";99,54;101,943;-0,69;"FAUNA";NA;NA
"965";2013;"J52";"284";"11";"J52D_11";"SUP";99,791;101,402;-0,738;"FAUNA";NA;NA
"966";2013;"J52";"285";"11";"J52D_11";"SUP";99,826;101,351;-0,701;"FAUNA";270;3
"967";2013;"J52";"286";"11";"J52D_11";"SUP";99,875;101,342;-0,711;"FAUNA";NA;NA
"968";2013;"J52";"287";"11";"J52D_11";"SUP";99,889;101,233;-0,745;"FAUNA";NA;NA
"969";2013;"J52";"289";"11";"J52D_11";"SUP";99,793;101,29;-0,732;"FAUNA";NA;NA
"970";2013;"J52";"290";"11";"J52D_11";"SUP";99,618;101,246;-0,727;"FAUNA";NA;NA
"971";2013;"J52";"291";"11";"J52B_11";"SUP";99,999;101,551;-0,731;"FAUNA";NA;NA
"972";2013;"J52";"292";"11";"J52B_11";"SUP";99,912;101,522;-0,737;"FAUNA";NA;NA
"973";2013;"J52";"293";"11";"J52B_11";"SUP";99,936;101,629;-0,734;"FAUNA";NA;NA
"974";2013;"J52";"294";"11";"J52B_11";"SUP";99,927;101,686;-0,711;"FAUNA";NA;NA
"975";2013;"J52";"295";"11";"J52B_11";"SUP";99,949;101,815;-0,761;"FAUNA";NA;NA
"976";2013;"J52";"296";"11";"J52B_11";"SUP";99,788;101,572;-0,729;"FAUNA";NA;NA
"977";2013;"J52";"297";"11";"J52B_11";"SUP";99,676;101,547;-0,71;"FAUNA";NA;NA
"978";2013;"J52";"299";"11";"J52B_11";"SUP";99,707;101,752;-0,716;"FAUNA";NA;NA
"979";2013;"J52";"300";"11";"J52B_11";"SUP";99,611;101,679;-0,708;"FAUNA";NA;NA
"980";2013;"J52";"301";"11";"J52B_11";"SUP";99,673;101,771;-0,704;"FAUNA";NA;NA
"981";2013;"J52";"302";"11";"J52B_11";"SUP";99,661;101,821;-0,72;"FAUNA";NA;NA
"982";2013;"J52";"303";"11";"J52B_11";"SUP";99,634;101,846;-0,727;"FAUNA";NA;NA
"983";2013;"J52";"304";"11";"J52A_11";"SUP";99,458;101,715;-0,709;"FAUNA";NA;NA
"984";2013;"J52";"305";"11";"J52A_11";"SUP";99,485;101,87;-0,703;"FAUNA";NA;NA
"985";2013;"J52";"306";"11";"J52B_11";"SUP";99,934;101,679;-0,719;"FAUNA";NA;NA
"986";2013;"J52";"307";"11";"J52D_11";"SUP";99,928;101,431;-0,76;"FAUNA";NA;NA
"987";2013;"J52";"308";"11";"J52D_11";"SUP";99,989;101,329;-0,763;"FAUNA";NA;NA
"988";2013;"J52";"309";"11";"J52D_11";"SUP";99,597;101,079;-0,734;"FAUNA";NA;NA
"989";2013;"J52";"310";"11";"J52B_11";"SUP";99,981;101,617;-0,738;"FAUNA";39;9
"990";2013;"J52";"311";"11";"J52B_11";"SUP";99,95;101,709;-0,735;"FAUNA";NA;NA
"991";2013;"J52";"312";"11";"J52B_11";"SUP";99,808;101,517;-0,752;"FAUNA";NA;NA
"992";2013;"J52";"313";"11";"J52B_11";"SUP";99,769;101,596;-0,752;"FAUNA";NA;NA
"993";2013;"J52";"314";"11";"J52B_11";"SUP";99,718;101,698;-0,738;"FAUNA";NA;NA
"994";2013;"J52";"315";"11";"J52B_11";"SUP";99,523;101,646;-0,714;"SILEX";NA;NA
"995";2013;"J52";"316";"11";"J52A_11";"SUP";99,44;101,87;-0,712;"FAUNA";NA;NA
"996";2013;"J52";"317";"11";"J52A_11";"SUP";99,48;101,732;-0,731;"FAUNA";NA;NA
